dataset,bubble_sort,std_sort
data/sorted_small.txt,0.0161503,8.833e-06
data/sorted_medium.txt,0.433226,4.7458e-05
data/sorted_large.txt,1.70161,8.8833e-05
data/reverse_small.txt,0.0166445,3.1041e-05
data/reverse_medium.txt,0.417619,7.9042e-05
data/reverse_large.txt,1.67583,0.000167542
data/random_small.txt,0.0285171,0.000159291
data/random_medium.txt,1.88722,0.000843042
data/random_large.txt,8.23241,0.00171733
data/sorted_small.txt,0.016551,9.167e-06
data/sorted_medium.txt,0.416068,4.4791e-05
data/sorted_large.txt,1.66453,9.5291e-05
data/reverse_small.txt,0.0165978,1.6e-05
data/reverse_medium.txt,0.417787,7.775e-05
data/reverse_large.txt,1.73512,0.000152375
data/random_small.txt,0.028893,0.000166333
data/random_medium.txt,1.91278,0.00084125
data/random_large.txt,8.20851,0.00173392
data/sorted_small.txt,0.0166572,9.333e-06
data/sorted_medium.txt,0.424674,4.4875e-05
data/sorted_large.txt,1.73395,8.95e-05
data/reverse_small.txt,0.0166097,1.6e-05
data/reverse_medium.txt,0.421766,7.6917e-05
data/reverse_large.txt,1.67747,0.000154208
data/random_small.txt,0.0282643,0.000156541
data/random_medium.txt,1.85778,0.000840375
data/random_large.txt,8.18071,0.00174138
data/sorted_small.txt,0.0161876,8.917e-06
data/sorted_medium.txt,0.41702,4.4875e-05
data/sorted_large.txt,1.66497,8.9542e-05
data/reverse_small.txt,0.0165018,1.5833e-05
data/reverse_medium.txt,0.417552,7.7291e-05
data/reverse_large.txt,1.70889,0.000155458
